student_id,subjects,interests
S122,"English, French, Music","Languages, Music"
S123,"Kiswahili, History, Geography","Africa, Travel"
S124,"Home Science, Chemistry, Biology","Nutrition, Science"
S125,"Technical Drawing, Physics, Computer Studies","Engineering, Tech"
S126,"Woodwork, Business Studies, Art and Design","Crafts, Business"
S127,"Metalwork, Computer Studies, Mathematics","Machines, Coding"
S128,"CRE, Kiswahili, History","Church,, Heritage"
S129,"IRE, Computer Studies, Arabic","Islam, Computers"
S130,"Agriculture, Computer Studies, Geography","Farming, Technology"
S131,"Music, Physics, Mathematics","Sound, Numbers"
S132,"Art and Design, Computer Studies, Mathematics","Digital Art, Math"
S133,"French, Business Studies, Geography","Trade, Countries"
S134,"German, Physics, Computer Studies","Engineering, Software"
S135,"Chemistry, Home Science, Biology","Food, Health"
S136,"Building Construction, Mathematics, Physics","Structures, Science"
S137,"Woodwork, Metalwork, Art and Design","Carpentry, Metal Art"
S138,"CRE, English, Music","Gospel, Writing"
S139,"IRE, History, Computer Studies","Islam, Technology"
S140,"Agriculture, Geography, Computer Studies","Farming, Mapping"
S141,"Physics, German, Mathematics","Science, Languages"
S142,"Geography, Agriculture, Computer Studies","Land, Computers"
S143,"Business Studies, French, History","Commerce, Culture"
S144,"Woodwork, Metalwork, Art and Design","Furniture, Sculpture"
S145,"Computer Studies, IRE, Mathematics","Tech, Religion"
S146,"Mathematics, Computer Studies, Physics","Apps, Science"
S147,"English, Art and Design, Music","Books, Arts"
S148,"Biology, Chemistry, Home Science","Nature, Cooking"
S149,"Geography, History, Business Studies","Places,Travelling, Money"
S150,"Technical Drawing, Building Construction, Mathematics","Plans, Building"
S151,"Woodwork, Metalwork, Art and Design","Crafts, Design"
S152,"French, English, Business Studies","Languages, Business"
S153,"German, Computer Studies, Physics","Computers, Machines"
S154,"Agriculture, Biology, Chemistry","Crops, Science"
S155,"CRE, History, Kiswahili","Bible, Africa"
S156,"IRE, Arabic, Computer Studies","Quran, Coding"
S157,"Physics, Mathematics, Computer Studies","Tech, Numbers"
S158,"Chemistry, Biology, Home Science","Food, Health"
S159,"Music, Physics, Computer Studies","Sound, Technology"
S160,"Business Studies, Economics, Mathematics","Money, Analysis"
S161,"Art and Design, Computer Studies, Mathematics","Design, Coding"
S162,"Technical Drawing, Physics, Computer Studies","Engineering, Tech"
S163,"Home Science, Agriculture, Business Studies","Farming, Selling"
S164,"History, English, CRE","Past, Religion"
S165,"Geography, Computer Studies, Mathematics","Earth, Data"
S166,"French, Music, Art and Design","Culture, Arts"
S167,"German, Physics, Mathematics","Science, Engineering"
S168,"Building Construction, Woodwork, Mathematics","Houses, Wood"
S169,"Metalwork, Computer Studies, Physics","Metal, Robots"
S170,"Kiswahili, History, Geography","Swahili, Places Travelling",
S171,"Computer Studies, IRE, Business Studies","Tech, Islamic Business"
S172,"Agriculture, Chemistry, Biology","Plants, Science"
S173,"Music, English, Business Studies","Songs, Commerce"
S174,"Art and Design, Technical Drawing, Physics","Drawing, Science"
S175,"Home Science, Chemistry, Mathematics","Food, Numbers"
S176,"History, CRE, English","Religion, Literature"
S177,"Geography, Agriculture, Computer Studies","Land, Tech"
S178,"French, Business Studies, Computer Studies","Trade, Software"
S179,"German, Technical Drawing, Physics","Engineering, Design"
S180,"Building Construction, Mathematics, Physics","Buildings, Science"
S181,"Woodwork, Art and Design, Business Studies","Furniture, Sales"
S182,"Metalwork, Computer Studies, Mathematics","Metal, Coding"
S183,"CRE, Music, English","Church, Songs"
S184,"IRE, History, Computer Studies","Islam, Computers"
S185,"Agriculture, Home Science, Business Studies","Farming, Marketing"
S186,"Physics, Computer Studies, Art and Design","Tech, Creativity"
S187,"Chemistry, Mathematics, Computer Studies","Science, Programming"
S188,"Biology, Geography, Computer Studies","Nature, Mapping"
S189,"Technical Drawing, Metalwork, Physics","Design, Engineering"
S190,"Music, Computer Studies, Mathematics","Sound, Numbers"
S191,"Business Studies, French, Geography","Commerce, Places Travelling",
S192,"History, Kiswahili, CRE","Africa, Religion"
S193,"Art and Design, Woodwork, Computer Studies","Crafts, Digital"
S194,"Home Science, Biology, Chemistry","Health, Science"
S195,"Computer Studies, Physics, German","Tech, Languages"
S196,"Mathematics, Physics, Computer Studies","Numbers, Technology"
S197,"English, Kiswahili, History","Books, Culture"
S198,"Biology, Chemistry, Agriculture","Plants, Farming"
S199,"Geography, Business Studies, Computer Studies","Places,Travelling, E-business"
S200,"Art and Design, Music, English","Drawing, Poetry"
S201,"Computer Studies, CRE, Mathematics","Church, Software, Coding"
S202,"Metalwork, Agriculture, Physics","Farming, Equipment, Mechanics"
S203,"IRE, Geography, Computer Studies","Islamic, Maps, Technology"
S204,"Home Science, Art and Design, Business Studies","Food, Styling, Marketing"
S205,"Technical Drawing, Music, Physics","Instruments, Design, Acoustics"
S206,"Woodwork, CRE, History","Church, Furniture, Restoration"
S207,"German, Chemistry, Mathematics","Chemical Engineering, Languages"
S208,"French, Agriculture, Computer Studies","Precision Farming, Translation"
S209,"Building Construction, CRE, Mathematics","Church, Architecture, Geometry"
S210,"Art and Design, IRE, Computer Studies","Islamic Art, Digital Design"
S211,"Geography, Metalwork, Physics","Mining Engineering, Geology"
S212,"Business Studies, Woodwork, Mathematics","Furniture Business, Accounting"
S213,"Music, Technical Drawing, Physics","Speaker Design, Sound Waves"
S214,"History, Metalwork, Art and Design","Historical Replicas, Blacksmithing"
S215,"Kiswahili, Agriculture, Computer Studies","Agri-Tech, Language Apps"
S216,"Home Science, German, Chemistry","German Cuisine, Food Science"
S217,"Physics, IRE, Mathematics","Islamic Astronomy, Calculations"
S218,"English, Building Construction, Art and Design","Architecture Writing, Sketching"
S219,"Computer Studies, Woodwork, Mathematics","CNC Woodworking, Programming"
S220,"Chemistry, CRE, Biology","Biblical Plants, Science"
S221,"Geography, French, Business Studies","International Trade, Tourism"
S222,"Technical Drawing, IRE, Art and Design","Mosque Design, Calligraphy"
S223,"Music, Agriculture, Computer Studies","Farming Apps, Folk Music"
S224,"History, Home Science, Chemistry","Historical Recipes, Food Chemistry"
S225,"German, Metalwork, Physics","German Engineering, Metallurgy"
S226,"Art and Design, Agriculture, Computer Studies","Farm Branding, Digital Art"
S227,"Business Studies, CRE, Mathematics","Church, Finance, Accounting"
S228,"Woodwork, Geography, Mathematics","Sustainable Materials, Geometry"
S229,"Physics, Kiswahili, Computer Studies","Tech Translation, Programming"
S230,"English, IRE, History","Islamic Literature, Research"
S231,"Building Construction, Music, Physics","Concert Halls, Acoustics"
S232,"Chemistry, Technical Drawing, Mathematics","Chemical Plant Design, Formulas"
S233,"Home Science, French, Art and Design","French Pastry, Food Presentation"
S234,"Computer Studies, History, Mathematics","Historical Data, Coding"
S235,"Agriculture, Metalwork, Business Studies","Farm Tools, Entrepreneurship"
S236,"Geography, CRE, Computer Studies","Holy Land Mapping, GIS"
S237,"German, Woodwork, Physics","Precision Woodworking, Engineering"
S238,"Music, IRE, Art and Design","Islamic Music, Album Art"
S239,"Business Studies, Technical Drawing, Mathematics","Product Design, Analytics"
S240,"Kiswahili, Chemistry, Computer Studies","Science Translation, Apps"
S241,"Physics, Building Construction, Art and Design","Architectural Physics, Modeling"
S242,"History, German, Geography","European History, Cartography"
S243,"English, Agriculture, Computer Studies","Farming Blogs, Content Creation"
S244,"CRE, Metalwork, Mathematics","Church, Metalwork, Geometry"
S245,"Art and Design, Home Science, Business Studies","Culinary Arts, Branding"
S246,"Computer Studies, French, Physics","French Tech, Engineering"
S247,"Woodwork, IRE, Mathematics","Islamic Geometry, Carpentry"
S248,"Chemistry, Music, Physics","Sound Chemistry, Instrument Materials"
S249,"Geography, Technical Drawing, Computer Studies","Digital Cartography, CAD"
S250,"Business Studies, Kiswahili, Agriculture","Swahili Markets, Agribusiness"
S251,"Mathematics, Physics, Computer Studies","Gaming, Esports"
S252,"English, Kiswahili, History","Blogging, TikTok"
S253,"Biology, Chemistry, Agriculture","Gardening, Birdwatching"
S254,"Geography, Business Studies, Computer Studies","Travel, Photography"
S255,"Art and Design, Music, English","Drawing, Songwriting"
S256,"Computer Studies, Mathematics, Physics","Coding, Anime"
S257,"Home Science, Biology, Chemistry","Baking, DIY Skincare"
S258,"Technical Drawing, Building Construction, Mathematics","Lego Building, Puzzles"
S259,"Business Studies, Mathematics, Computer Studies","YouTube, Influencers"
S260,"French, English, History","K-pop, Language Learning"
S261,"German, Computer Studies, Mathematics","Gaming, Memes"
S262,"Chemistry, Physics, Mathematics","Science Experiments, Fireworks"
S263,"Building Construction, Woodwork, Metalwork","DIY Projects, Home Renovation"
S264,"Woodwork, Art and Design, Mathematics","Wood Carving, Sculpting"
S265,"CRE, History, English","Church Choir, Drama"
S266,"IRE, Arabic, History","Calligraphy, Henna Art"
S267,"Agriculture, Biology, Geography","Hiking, Camping"
S268,"Music, Art and Design, Computer Studies","Beatmaking, Digital Art"
S269,"Geography, Computer Studies, Mathematics","Geocaching, Drones"
S270,"Business Studies, Economics, Mathematics","Saving Money, Thrifting"
S271,"Physics, Computer Studies, Mathematics","Robotics Club, Sci-Fi"
S272,"English, French, Music","Singing, Song Covers"
S273,"Kiswahili, History, Geography","Swahili Poetry, Travel Vlogs"
S274,"Home Science, Chemistry, Biology","Cooking, Nutrition"
S275,"Technical Drawing, Physics, Computer Studies","3D Printing, Gadgets"
S276,"Woodwork, Business Studies, Art and Design","Etsy Shop, Crafts"
S277,"Metalwork, Computer Studies, Mathematics","Jewelry Making, Coding"
S278,"CRE, Kiswahili, History","Bible Study, Volunteering"
S279,"IRE, Computer Studies, Arabic","Islamic Apps, Social Media"
S280,"Agriculture, Computer Studies, Geography","Farm Sims, Nature Walks"
S281,"Music, Physics, Mathematics","Music Production, Concerts"
S282,"Art and Design, Computer Studies, Mathematics","Digital Art, Webcomics"
S283,"French, Business Studies, Geography","Fashion, Shopping"
S284,"German, Physics, Computer Studies","Car Mods, Engineering"
S285,"Chemistry, Home Science, Biology","Slime Making, Experiments"
S286,"Building Construction, Mathematics, Physics","Miniature Models, Architecture"
S287,"Woodwork, Metalwork, Art and Design","Custom Sneakers, DIY Fashion"
S288,"CRE, English, Music","Worship Band, Lyrics Writing"
S289,"IRE, History, Computer Studies","Documentaries, Research"
S290,"Agriculture, Geography, Computer Studies","Plant Care Apps, Hiking"
S291,"Physics, German, Mathematics","Puzzle Games, Brain Teasers"
S292,"Geography, Agriculture, Computer Studies","Adventure Travel, Blogging"
S293,"Business Studies, French, History","Flea Markets, Vintage Finds"
S294,"Woodwork, Metalwork, Art and Design","Cosplay Props, Conventions"
S295,"Computer Studies, IRE, Mathematics","App Development, Ramadan Apps"
S296,"Mathematics, Computer Studies, Physics","Coding Games, Math Competitions"
S297,"English, Art and Design, Music","Fan Fiction, Comic Books"
S298,"Biology, Chemistry, Home Science","Baking Competitions, Food Science"
S299,"Geography, History, Business Studies","Geoguessr, Trivia Games"
S300,"Technical Drawing, Building Construction, Mathematics","Blueprints, Minecraft Building"
S301,"Woodwork, Metalwork, Art and Design","Custom Jewelry, Accessories"
S302,"French, English, Business Studies","Language Exchange, Shopping"
S303,"German, Computer Studies, Physics","Tech Unboxing, Gadget Reviews"
S304,"Agriculture, Biology, Chemistry","Organic Farming, Farmers Markets"
S305,"CRE, History, Kiswahili","Church Events, Community Service"
S306,"IRE, Arabic, Computer Studies","Quran Apps, Islamic Content"
S307,"Physics, Mathematics, Computer Studies","Astronomy, Stargazing"
S308,"Chemistry, Biology, Home Science","DIY Cosmetics, Soap Making"
S309,"Music, Physics, Computer Studies","DJing, Light Shows"
S310,"Business Studies, Economics, Mathematics","Investing, Stock Market Games"
S311,"Art and Design, Computer Studies, Mathematics","NFT Art, Digital Collectibles"
S312,"Technical Drawing, Physics, Computer Studies","Drone Building, Aerial Photography"
S313,"Home Science, Agriculture, Business Studies","Food Blogging, Recipe Development"
S314,"History, English, CRE","Historical Fiction, Roleplaying"
S315,"Geography, Computer Studies, Mathematics","Travel Planning, Google Earth"
S316,"French, Music, Art and Design","Fashion Design, Sketching"
S317,"German, Physics, Mathematics","Engineering Challenges, Olympiads"
S318,"Building Construction, Woodwork, Mathematics","Treehouses, Outdoor Projects"
S319,"Metalwork, Computer Studies, Physics","Robot Wars, Competitions"
S320,"Kiswahili, History, Geography","African History, Cultural Events"
S321,"Computer Studies, IRE, Business Studies","Islamic Startups, E-commerce"
S322,"Agriculture, Chemistry, Biology","Beekeeping, Honey Production"
S323,"Music, English, Business Studies","Music Marketing, Event Planning"
S324,"Art and Design, Technical Drawing, Physics","Car Design, Concept Art"
S325,"Home Science, Chemistry, Mathematics","Cake Decorating, Measurements"
S326,"History, CRE, English","Mythology, Ancient Cultures"
S327,"Geography, Agriculture, Computer Studies","Nature Photography, Blogging"
S328,"French, Business Studies, Computer Studies","Online Boutique, Dropshipping"
S329,"German, Technical Drawing, Physics","Model Trains, Engineering"
S330,"Building Construction, Mathematics, Physics","Bridge Competitions, Structures"
S331,"Woodwork, Art and Design, Business Studies","Custom Gifts, Small Business"
S332,"Metalwork, Computer Studies, Mathematics","Laser Cutting, Programming"
S333,"CRE, Music, English","Gospel Rap, Poetry Slams"
S334,"IRE, History, Computer Studies","Islamic History Podcasts"
S335,"Agriculture, Home Science, Business Studies","Farmers Market, Organic Products"
S336,"Physics, Computer Studies, Art and Design","VR Art, Digital Worlds"
S337,"Chemistry, Mathematics, Computer Studies","Chemistry Memes, Science Jokes"
S338,"Biology, Geography, Computer Studies","Animal Tracking, Nature Apps"
S339,"Technical Drawing, Metalwork, Physics","Bike Mods, Custom Parts"
S340,"Music, Computer Studies, Mathematics","Beatboxing, Sound Engineering"
S341,"Business Studies, French, Geography","Import/Export, Global Trends"
S342,"History, Kiswahili, CRE","African Folklore, Storytelling"
S343,"Art and Design, Woodwork, Computer Studies","Woodburning Art, Digital Portfolios"
S344,"Home Science, Biology, Chemistry","Smoothie Recipes, Healthy Living"
S345,"Computer Studies, Physics, German","Tech Forums, Online Communities"
S346,"Mathematics, Physics, Computer Studies","Coding Challenges, Hackathons"
S347,"English, Kiswahili, History","Debate Club, Public Speaking"
S348,"Biology, Chemistry, Agriculture","Hydroponics, Urban Farming"
S349,"Geography, Business Studies, Computer Studies","Travel Vlogging, Adventure"
S350,"Art and Design, Music, English","Concert Posters, Graphic Design"
S351,"Mathematics, Business Studies, Computer Studies","Startup Competitions, Business Pitches"
S352,"English, Computer Studies, History and Government","Podcasting, Digital Storytelling"
S353,"Kiswahili, Geography, Business Studies","Swahili Content Creation, Eco-Tourism"
S354,"Physics, Computer Studies, Mathematics","Drone Racing, Tech DIY"
S355,"Art and Design, Computer Studies, Business Studies","Digital Merchandise, Online Stores"
S356,"Chemistry, Biology, Home Science","Science Fair Projects, Experiments"
S357,"Technical Drawing, Building Construction, Physics","Model Building, Bridge Competitions"
S358,"French, English, Computer Studies","Language Apps, Translation Tech"
S359,"Agriculture, Biology, Computer Studies","Smart Farming, Agri-Tech"
S360,"Music, Art and Design, Computer Studies","Album Cover Design, Music Videos"
S361,"History, CRE, Computer Studies","Religious History Blogging"
S362,"IRE, Arabic, Computer Studies","Islamic Learning Apps"
S363,"Geography, Physics, Computer Studies","Weather Tracking, Climate Apps"
S364,"Business Studies, Mathematics, Computer Studies","Stock Market Games, Trading Sims"
S365,"Woodwork, Metalwork, Art and Design","Custom Sneaker Design"
S366,"Home Science, Chemistry, Business Studies","Healthy Snack Business"
S367,"German, Physics, Computer Studies","Car Engineering Sims"
S368,"Building Construction, Mathematics, Geography","Sustainable Architecture Models"
S369,"Computer Studies, IRE, Business Studies","Halal Food Delivery Apps"
S370,"Agriculture, Geography, Computer Studies","Farm Simulation Games"
S371,"Music, Physics, Computer Studies","Sound Engineering, Music Tech"
S372,"Art and Design, History, Computer Studies","Digital Museum Tours"
S373,"French, Business Studies, Geography","European Market Research"
S374,"Technical Drawing, Computer Studies, Mathematics","3D Modeling Challenges"
S375,"Chemistry, Music, Physics","Instrument Acoustics"
S376,"Biology, Computer Studies, Geography","Wildlife Tracking Apps"
S377,"English, Kiswahili, Computer Studies","Language Learning Apps"
S378,"Mathematics, Physics, Computer Studies","Coding Competitions"
S379,"History, Business Studies, Computer Studies","Historical Trading Games"
S380,"Geography, Agriculture, Computer Studies","Farm Mapping Tech"
S381,"Business Studies, CRE, Computer Studies","Church Management Apps"
S382,"Art and Design, Computer Studies, Physics","VR Art Exhibitions"
S383,"Home Science, Computer Studies, Mathematics","Nutrition Tracking Apps"
S384,"German, Mathematics, Computer Studies","Engineering Software"
S385,"Building Construction, Computer Studies, Physics","Smart Home Design"
S386,"Woodwork, Computer Studies, Mathematics","CNC Woodworking"
S387,"IRE, Computer Studies, Business Studies","Islamic Finance Apps"
S388,"Agriculture, Computer Studies, Physics","Drone Farming Tech"
S389,"Music, Computer Studies, Business Studies","Music Streaming Analytics"
S390,"Chemistry, Computer Studies, Mathematics","Molecular Modeling"
S391,"Biology, Computer Studies, Physics","Bioengineering Sims"
S392,"English, Computer Studies, Art and Design","Digital Poetry Slams"
S393,"Kiswahili, Computer Studies, Business Studies","Swahili E-commerce"
S394,"Geography, Computer Studies, Physics","Disaster Prediction Tech"
S395,"Technical Drawing, Computer Studies, Business Studies","Product Design Startups"
S396,"French, Computer Studies, Music","Language Learning Songs"
S397,"German, Computer Studies, Art and Design","Automotive Design Tech"
S398,"History, Computer Studies, Mathematics","Historical Data Analysis"
S399,"CRE, Computer Studies, Business Studies","Faith-Based Startups"
S400,"IRE, Computer Studies, Geography","Halal Travel Apps"
S401,"Agriculture, Computer Studies, Business Studies","Farm Management Games"
S402,"Music, Computer Studies, Physics","Audio Engineering Tech"
S403,"Art and Design, Computer Studies, Business Studies","NFT Art Marketplace"
S404,"Home Science, Computer Studies, Chemistry","Food Science Apps"
S405,"Building Construction, Computer Studies, Mathematics","Architectural CAD"
S406,"Woodwork, Computer Studies, Physics","Smart Furniture Design"
S407,"Metalwork, Computer Studies, Mathematics","Robotics Competitions"
S408,"English, Computer Studies, Business Studies","Content Creation Business"
S409,"Kiswahili, Computer Studies, Geography","Swahili Tourism Apps"
S410,"Mathematics, Computer Studies, Business Studies","Fintech Startups"
S411,"Physics, Computer Studies, Art and Design","Sci-Fi Concept Art"
S412,"Chemistry, Computer Studies, Biology","Bioinformatics Projects"
S413,"Biology, Computer Studies, Business Studies","Biotech Startups"
S414,"Geography, Computer Studies, Business Studies","Location-Based Apps"
S415,"Technical Drawing, Computer Studies, Physics","Engineering Simulations"
S416,"French, Computer Studies, Business Studies","Luxury Brand Tech"
S417,"German, Computer Studies, Physics","Precision Engineering"
S418,"History, Computer Studies, Business Studies","Historical Reenactment Tech"
S419,"CRE, Computer Studies, Music","Worship Music Tech"
S420,"IRE, Computer Studies, Physics","Islamic Science Apps"
S421,"Agriculture, Computer Studies, Art and Design","Farm Branding Tech"
S422,"Music, Computer Studies, Mathematics","Algorithmic Composition"
S423,"Art and Design, Computer Studies, Geography","Virtual Travel Exhibits"
S424,"Home Science, Computer Studies, Business Studies","Wellness Tech Startups"
S425,"Building Construction, Computer Studies, Business Studies","Construction Tech"
S426,"Woodwork, Computer Studies, Art and Design","Digital Woodworking"
S427,"Metalwork, Computer Studies, Physics","Industrial Automation"
S428,"English, Computer Studies, History","Digital Archives"
S429,"Kiswahili, Computer Studies, Music","Swahili Music Tech"
S430,"Mathematics, Computer Studies, Physics","Quantum Computing Sims"
S431,"Physics, Computer Studies, Business Studies","Tech Startup Incubator"
S432,"Chemistry, Computer Studies, Business Studies","Chemical Supply Apps"
S433,"Biology, Computer Studies, Art and Design","Scientific Illustration"
S434,"Geography, Computer Studies, Mathematics","GIS Mapping Projects"
S435,"Technical Drawing, Computer Studies, Business Studies","Engineering Startups"
